,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb),Chromatic Number
204,soc-flickr,Social Networks,513969,3190452,2.42E-05,4369,1,12,0.157802,176313864,343,524525,0.167599,0.154791,310,53,
205,soc-flixster,Social Networks,2523386,7918801,2.49E-06,1474,1,6,-0.321231,23691366,9,15190,0.0833873,0.0136505,69,31,
206,soc-google-plus,Social Networks,211186,1505135,6.75E-05,2036,1,14,0.216811,68731073,325,191436,0.151171,0.271389,163,59,
207,soc-gowalla,Social Networks,196591,950327,4.92E-05,14730,1,9,-0.0292547,6819414,34,93817,0.236724,0.0234828,52,29,
208,soc-gplus,Social Networks,23628,39241.5,0.0001,2771,1,3.32,0,63551,2.69,5326.5,0.218,0.004,13,12,11
209,soc-hamsterster,Social Networks,2426,16630,0.00565353,273,1,13,0.0474008,159753,65,2681,0.537533,0.231388,25,25,
210,soc-karate,Social Networks,34,78,0.139037,17,1,4,-0.475613,135,3,18,0.570638,0.255682,5,5,
211,soc-lastfm,Social Networks,1191805,4519330,6.36E-06,5150,1,7,-0.135906,11838621,9,38000,0.0726698,0.0130079,71,14,
212,soc-livejournal,Social Networks,4033137,27933062,3.43E-06,2651,1,13,0.268845,250658109,62,79740,0.256436,0.139259,214,87,
213,soc-loc-brightkite,Social Networks,58228,214077.5,0.0001,1134,1,7.35,0,1484184,25.49,11517,0.172,0.111,52,51,47
214,soc-orkut-dir,Social Networks,3072441,117185083,2.48E-05,33313,1,76,0.0158129,1882752543,612,1666622,0.166607,0.0412654,254,47,
215,soc-orkut,Social Networks,2997166,106349209,2.37E-05,27466,1,70,0.018004,1573931856,525,1313133,0.170024,0.042691,231,41,
216,soc-pokec,Social Networks,1632803,22301964,1.67E-05,14854,1,27,0.0016366,97672374,59,29290,0.109379,0.0468212,48,29,
217,soc-sign-Slashdot081106,Social Networks,77357,516575,0.000172651,2546,0,13,-0.0580967,3036700,39,32935,0.0633187,0.0364661,85,15,
218,soc-sign-Slashdot090216,Social Networks,81871,545671,0.000162819,2555,0,13,-0.0582102,3111609,38,33316,0.0718704,0.0353793,86,14,
219,soc-sign-Slashdot090221,Social Networks,82144,549202,0.000162785,2557,0,13,-0.0590508,3161995,38,33509,0.0722704,0.0355033,86,14,
220,soc-sign-epinions,Social Networks,131828,840799,9.68E-05,3622,0,12,-0.0362489,27927306,211,107668,0.156187,0.111073,180,19,
221,soc-sinaweibo,Social Networks,21000000,261000000,,,,,,63800000000,,,,,,,
222,soc-slashdot-trust-all,Social Networks,79120,515581,0.000164725,2546,1,13,-0.0602878,3000581,37,32989,0.0669573,0.0362146,85,26,
223,soc-slashdot,Social Networks,70068,358647,0.000146105,2507,1,10,-0.0651334,1205643,17,13382,0.0562587,0.0259843,54,23,
224,soc-student-coop,Social Networks,7497077,1,3.56E-14,1,0,0,,0,0,0,0,,2,2,
225,soc-themarker,Social Networks,69413,1644843,0.000682777,8930,1,47,-0.146941,53254218,767,346157,0.186372,0.0459439,165,21,
226,soc-tribes,Social Networks,16,58,0.483333,10,3,7,0.0499048,204,12,22,0.539187,0.527132,6,5,
227,soc-twitter-follows-mun,Social Networks,465017,835423,7.73E-06,811,1,3,-0.873833,135064,0,2926,0.0207847,0.000713014,31,6,
228,soc-twitter-follows,Social Networks,404719,713319,8.71E-06,626,1,3,-0.876372,88617,0,1687,0.0144463,0.000596857,29,6,
229,soc-twitter-higgs,Social Networks,456631,14855852,0.000142494,51388,1,65,-0.131623,410596075,899,893409,0.209861,0.0136002,188,66,
230,soc-wiki-Talk-dir,Social Networks,2394385,5021409,1.75E-06,100032,1,4,-0.288783,53666618,22,359836,0.0748237,0.0039699,185,25,
231,soc-wiki-Vote,Social Networks,889,2914,0.00738252,102,1,6,-0.0287763,6357,7,251,0.152847,0.127349,10,6,
232,soc-wiki-elec,Social Networks,7115,107013,0.00422842,1346,1,30,-0.0516799,2520117,354,55979,0.173828,0.14237,61,17,
233,soc-youtube-snap,Social Networks,1134890,2987624,4.64E-06,28754,1,5,-0.0369099,9169158,8,180820,0.0808023,0.00621856,52,16,
234,soc-youtube,Social Networks,495957,1936748,1.57E-05,25409,1,7,-0.0318967,7331658,14,151081,0.11008,0.00880801,50,16,
235,sc-TSOPF-RS-b2383-c1,Scientific Computing,38120,16135378,0.0222083,16354,4,846,-0.178085,48364831,1268,16518,0.0525166,0.000877003,656,6,
236,sc-delaunay-n23,Scientific Computing,8388608,25165784,7.15E-07,28,3,5,-0.147678,50620077,6,27,0.433365,0.379703,5,4,
237,sc-ldoor,Scientific Computing,952203,20770807,4.58E-05,76,0,43,-0.118345,567147375,595,1135,0.613241,0.573266,35,21,
238,sc-msdoor,Scientific Computing,415863,9378650,0.00010846,76,0,45,-0.115958,260626518,626,1135,0.624806,0.575775,35,21,
239,sc-nasasrb,Scientific Computing,54870,1311227,0.000871056,275,11,47,0.0689029,35155833,640,3649,0.563362,0.554911,36,24,
240,sc-pkustk11,Scientific Computing,87804,2565054,0.000665431,131,17,58,0.280312,79665120,907,3250,0.588036,0.455718,48,36,
241,sc-pkustk13,Scientific Computing,94893,3260967,0.00072429,299,17,68,-0.0426648,135474234,1427,8506,0.649748,0.498675,42,36,
242,sc-pwtk,Scientific Computing,217891,5653221,0.000238149,179,1,51,0.249693,167944767,770,2342,0.580948,0.577343,36,25,
243,sc-rel9,Scientific Computing,5921786,23667169,1.35E-06,167,2,7,-0.895457,2688,0,42,5.64E-06,2.30E-06,6,4,
244,sc-shipsec1,Scientific Computing,140385,1707759,0.000173308,67,2,24,0.593903,18446736,131,989,0.38783,0.385761,25,24,
245,sc-shipsec5,Scientific Computing,179104,2200076,0.00013717,75,1,24,0.564686,23188062,129,1165,0.357352,0.371142,30,24,
246,rt-higgs,Retweet Networks,425008,733610,8.12E-06,31569,1,3,-0.070652,375395,0,47410,0.0277772,0.000390163,19,12,
247,rt-pol,Retweet Networks,18470,61157,0.000358563,1022,1,6,-0.0560735,377282,20,14669,0.0596484,0.0576168,80,44,
248,rt-retweet-crawl,Retweet Networks,1112702,2278852,3.68E-06,5070,1,4,-0.0181615,525939,0,1555,0.0186996,0.00336442,19,13,
249,rt-retweet,Retweet Networks,96,117,0.0256579,17,1,2,-0.17917,36,0,6,0.06075,0.0742268,4,4,
250,rt-twitter-copen,Retweet Networks,761,1029,0.00355834,37,1,2,-0.0992231,447,0,27,0.07588,0.0601939,5,4,
251,rt-alwefaq,Retweet Networks,4171,7119,0.000818602,879,1,3,-0.22117,12188,2,828,0.127405,0.0129633,13,8,
252,rt-assad,Retweet Networks,2139,2801,0.00122497,152,1,2,-0.257837,799,0,126,0.0156254,0.0122375,7,5,
253,rt-bahrain,Retweet Networks,4676,8005,0.000732378,261,1,3,-0.215357,1853,0,120,0.0176358,0.00895476,7,5,
254,rt-barackobama,Retweet Networks,9631,9823,0.000211825,7688,1,2,-0.65604,121,0,24,0.00301093,4.07E-06,4,3,
255,rt-damascus,Retweet Networks,3052,3881,0.000833579,648,1,2,-0.162547,547,0,42,0.0116766,0.00195999,6,4,
256,rt-dash,Retweet Networks,6288,7453,0.000377055,439,1,2,-0.24904,509,0,34,0.0110618,0.00105744,5,4,
257,rt-gmanews,Retweet Networks,8373,8828,0.000251873,7225,1,2,-0.711617,949,0,280,0.027405,3.61E-05,5,4,
258,rt-gop,Retweet Networks,4687,5536,0.000504114,310,1,2,-0.14254,99,0,11,0.00457152,0.000800757,4,3,
259,rt-http,Retweet Networks,8917,10318,0.000259559,916,1,2,-0.287214,195,0,20,0.0033881,0.000153369,5,4,
260,rt-islam,Retweet Networks,4497,4616,0.000456611,2681,1,2,-0.446525,6,0,1,0.000556123,1.62E-06,3,2,
261,rt-israel,Retweet Networks,3698,4174,0.000610613,194,1,2,-0.209825,75,0,5,0.00368127,0.000975255,4,3,
262,rt-justinbieber,Retweet Networks,9405,9614,0.000217402,3897,1,2,-0.741143,24,0,6,0.00105805,1.69E-06,3,3,
263,rt-ksa,Retweet Networks,7302,8123,0.000304735,1532,1,2,-0.358069,660,0,124,0.017137,0.000260693,7,5,
264,rt-lebanon,Retweet Networks,3961,4440,0.000566126,366,1,2,-0.277422,175,0,19,0.00714723,0.000865351,5,4,
265,rt-libya,Retweet Networks,5067,5549,0.000432343,533,1,2,-0.143234,206,0,22,0.0043313,0.000832085,4,3,
266,rt-lolgop,Retweet Networks,9765,10324,0.00021656,9213,1,2,-0.806137,682,0,222,0.0230266,1.61E-05,4,3,
267,rt-mittromney,Retweet Networks,7974,8591,0.000270256,3270,1,2,-0.247532,194,0,50,0.00440131,3.55E-05,4,3,
268,rt-obama,Retweet Networks,3212,3426,0.000664357,267,1,2,-0.276967,42,0,8,0.0036918,0.00030767,4,3,
269,rt-occupy,Retweet Networks,3225,3959,0.000761537,351,1,2,-0.141759,360,0,25,0.0117473,0.00291104,5,3,
270,rt-occupywallstnyc,Retweet Networks,3609,3933,0.000604088,3212,1,2,-0.6917,564,0,172,0.0374211,0.00010928,5,4,
271,rt-oman,Retweet Networks,4904,6232,0.000518376,749,1,2,-0.198599,791,0,102,0.015137,0.00146525,6,5,
272,rt-onedirection,Retweet Networks,7987,8130,0.000254922,5989,1,2,-0.627869,42,0,13,0.0014378,2.28E-06,3,3,
273,rt-p2,Retweet Networks,4902,6029,0.0005019,282,1,2,-0.19848,277,0,46,0.0093985,0.00160819,4,3,
274,rt-qatif,Retweet Networks,7537,8568,0.000301696,2906,1,2,-0.412006,978,0,226,0.0263828,0.00015685,5,4,
275,rt-saudi,Retweet Networks,7252,8093,0.000307811,1885,1,2,-0.467518,1228,0,253,0.0317042,0.000285263,7,5,
276,rt-tcot,Retweet Networks,4547,5514,0.00053351,309,1,2,-0.120166,111,0,10,0.00379642,0.000969424,4,3,
277,rt-tlot,Retweet Networks,3665,4480,0.000667235,594,1,2,-0.199181,177,0,38,0.00750987,0.000563106,4,4,
278,rt-uae,Retweet Networks,5248,6392,0.000464261,365,1,2,-0.27803,611,0,45,0.00987712,0.00174503,6,4,
279,rt-voteonedirection,Retweet Networks,2280,2468,0.00094994,650,1,2,-0.391732,10,0,4,0.00135966,2.83E-05,4,3,
280,rt-alwefaq,Retweet Networks,4171,7119,0.000818602,879,1,3,-0.22117,12188,2,828,0.127405,0.0129633,13,8,
281,rt-assad,Retweet Networks,2139,2801,0.00122497,152,1,2,-0.257837,799,0,126,0.0156254,0.0122375,7,5,
282,rt-bahrain,Retweet Networks,4676,8005,0.000732378,261,1,3,-0.215357,1853,0,120,0.0176358,0.00895476,7,5,
283,rt-barackobama,Retweet Networks,9631,9823,0.000211825,7688,1,2,-0.65604,121,0,24,0.00301093,4.07E-06,4,3,
284,rt-damascus,Retweet Networks,3052,3881,0.000833579,648,1,2,-0.162547,547,0,42,0.0116766,0.00195999,6,4,
285,rt-dash,Retweet Networks,6288,7453,0.000377055,439,1,2,-0.24904,509,0,34,0.0110618,0.00105744,5,4,
286,rt-gmanews,Retweet Networks,8373,8828,0.000251873,7225,1,2,-0.711617,949,0,280,0.027405,3.61E-05,5,4,
287,rt-gop,Retweet Networks,4687,5536,0.000504114,310,1,2,-0.14254,99,0,11,0.00457152,0.000800757,4,3,
288,rt-http,Retweet Networks,8917,10318,0.000259559,916,1,2,-0.287214,195,0,20,0.0033881,0.000153369,5,4,
289,rt-israel,Retweet Networks,3698,4174,0.000610613,194,1,2,-0.209825,75,0,5,0.00368127,0.000975255,4,3,
290,rt-justinbieber,Retweet Networks,9405,9614,0.000217402,3897,1,2,-0.741143,24,0,6,0.00105805,1.69E-06,3,3,
291,rt-ksa,Retweet Networks,7302,8123,0.000304735,1532,1,2,-0.358069,660,0,124,0.017137,0.000260693,7,5,
292,rt-lebanon,Retweet Networks,3961,4440,0.000566126,366,1,2,-0.277422,175,0,19,0.00714723,0.000865351,5,4,
293,rt-libya,Retweet Networks,5067,5549,0.000432343,533,1,2,-0.143234,206,0,22,0.0043313,0.000832085,4,3,
294,rt-lolgop,Retweet Networks,9765,10324,0.00021656,9213,1,2,-0.806137,682,0,222,0.0230266,1.61E-05,4,3,
295,rt-mittromney,Retweet Networks,7974,8591,0.000270256,3270,1,2,-0.247532,194,0,50,0.00440131,3.55E-05,4,3,
296,rt-obama,Retweet Networks,3212,3426,0.000664357,267,1,2,-0.276967,42,0,8,0.0036918,0.00030767,4,3,
297,rt-occupy,Retweet Networks,3225,3959,0.000761537,351,1,2,-0.141759,360,0,25,0.0117473,0.00291104,5,3,
298,rt-occupywallstnyc,Retweet Networks,3609,3933,0.000604088,3212,1,2,-0.6917,564,0,172,0.0374211,0.00010928,5,4,
299,rt-oman,Retweet Networks,4904,6232,0.000518376,749,1,2,-0.198599,791,0,102,0.015137,0.00146525,6,5,
300,rt-onedirection,Retweet Networks,7987,8130,0.000254922,5989,1,2,-0.627869,42,0,13,0.0014378,2.28E-06,3,3,
301,rt-p2,Retweet Networks,4902,6029,0.0005019,282,1,2,-0.19848,277,0,46,0.0093985,0.00160819,4,3,
302,rt-qatif,Retweet Networks,7537,8568,0.000301696,2906,1,2,-0.412006,978,0,226,0.0263828,0.00015685,5,4,
303,rt-saudi,Retweet Networks,7252,8093,0.000307811,1885,1,2,-0.467518,1228,0,253,0.0317042,0.000285263,7,5,
304,rt-tcot,Retweet Networks,4547,5514,0.00053351,309,1,2,-0.120166,111,0,10,0.00379642,0.000969424,4,3,
305,rt-tlot,Retweet Networks,3665,4480,0.000667235,594,1,2,-0.199181,177,0,38,0.00750987,0.000563106,4,4,
306,rt-uae,Retweet Networks,5248,6392,0.000464261,365,1,2,-0.27803,611,0,45,0.00987712,0.00174503,6,4,
307,rt-voteonedirection,Retweet Networks,2280,2468,0.00094994,650,1,2,-0.391732,10,0,4,0.00135966,2.83E-05,4,3,
308,rec-amazon-ratings,Recommendation Networks,2146057,5838027,2.54E-06,12241,1,5,-0.0212144,246957,0,3439,0.00039531,0.000342995,130,4,
309,rec-amazon,Recommendation Networks,91813,125704,2.98E-05,5,1,2,0.191077,103023,1,9,0.268215,0.348202,5,5,
310,rec-dating,Recommendation Networks,168791,17359214,0.00121861,33412,1,205,-0.134248,286037064,1694,1606443,0.0344804,0.0101144,261,12,
311,rec-eachmovie,Recommendation Networks,61989,2811698,0.00146345,32864,1,90,-0.407096,39364671,635,930695,0.120205,0.00264363,221,12,
312,rec-epinions,Recommendation Networks,755200,13396296,4.70E-05,158934,1,35,-0.547703,39685519,52,1972868,0.0398705,0.000594178,149,8,
313,rec-github,Recommendation Networks,121706,440165,5.94E-05,3691,1,7,-0.0335303,986205,8,21763,0.00618751,0.0157259,48,8,
314,rec-libimseti-dir,Recommendation Networks,220970,17359346,0.000711048,33389,1,157,-0.138584,214800226,972,1031381,0.0456589,0.00751373,277,13,
315,rec-movielens-tag-movies-10m,Recommendation Networks,16528,95540,0.000699521,721,1,11,-0.0150561,144670,8,5095,0.0135024,0.0172342,43,5,
316,rec-movielens-user-movies-10m,Recommendation Networks,7601,95559,0.00330839,6014,1,25,-0.188057,1130201,148,48696,0.201964,0.0161021,59,7,
317,rec-movielens-user-tag-10m,Recommendation Networks,21,22,0.1048,0,0,1.05,0,0,0,0,0,0,0,0,1
318,rec-movielens,Recommendation Networks,70155,9999941,0.00406365,35301,1,285,-0.321359,983152187,14014,4871313,0.262123,0.023765,533,25,
319,rec-yahoo-songs,Recommendation Networks,136736,49770305,0.005324,31429,45,727,-0.152652,3664762563,26801,9398664,0.0575864,0.028674,723,17,
320,rec-yelp-user-business,Recommendation Networks,50394,229843,0.000181014,844,1,9,-0.0912339,334070,6,3596,0.0115814,0.0141791,35,7,
321,soc-friendster,Massive Network Data,65608366,1806067135,8.39E-07,5214,1,55,,12500000000,190,158000,,0.16,305,129,
322,soc-orkut-dir,Massive Network Data,3072441,117185083,2.48E-05,33313,1,76,0.0158129,1882752543,612,1666622,0.166607,0.0412654,254,47,
323,soc-orkut,Massive Network Data,2997166,106349209,2.37E-05,27466,1,70,0.018004,1573931856,525,1313133,0.170024,0.042691,231,41,
324,soc-sinaweibo,Massive Network Data,21000000,261000000,,,,,,63800000000,,,,,,,
325,soc-twitter,Massive Network Data,58000000,265000000,,,,,,51800000000,,,,,,,
326,tech-p2p,Massive Network Data,,,,,,,,,,,,,,,
327,inf-USAir97,Infrastructure Networks,332,2126,0.0386925,139,1,12,-0.207876,36543,110,1413,0.625217,0.396392,27,22,
328,inf-euroroad,Infrastructure Networks,1174,1417,0.00205794,10,1,2,0.126684,96,0,2,0.0167316,0.0338863,3,3,
329,inf-italy-osm,Infrastructure Networks,6686493,7013978,3.14E-07,9,1,2,0.253644,22230,0,5,0.00101991,0.00269188,4,3,
330,inf-openflights,Infrastructure Networks,2939,30501,0.00706468,473,1,20,0.0461392,853241,290,14954,0.396761,0.254926,56,20,
331,inf-power,Infrastructure Networks,4941,6594,0.000540303,19,1,2,0.00345699,1953,0,21,0.0801036,0.103153,6,6,
332,inf-road-usa,Infrastructure Networks,23947347,28854312,1.01E-07,9,1,2,0.0673584,1316412,0,8,0.0176287,0.0258056,4,3,
333,inf-roadNet-CA,Infrastructure Networks,1957027,2760388,1.44E-06,12,1,2,0.120637,361476,0,7,0.0464684,0.0603595,4,4,
334,inf-roadNet-PA,Infrastructure Networks,1087562,1541514,2.61E-06,9,1,2,0.121989,201336,0,8,0.046463,0.0593855,4,3,
335,ia-dbpedia-team-bi,Interaction Networks,365492,890107,1.33E-05,2307,1,4,-0.20359,13856,0,747,0.00101209,0.000103531,12,6,
336,ia-email-EU-dir,Interaction Networks,265009,418956,1.19E-05,7636,1,3,-0.204377,1794969,6,15008,0.0870503,0.0074693,57,13,
337,ia-email-EU,Interaction Networks,32430,54397,0.000103449,623,1,3,-0.381627,146976,4,1615,0.112681,0.0267784,23,11,
338,ia-email-univ,Interaction Networks,1133,5451,0.00850021,71,1,9,0.078201,16029,14,261,0.220176,0.16625,12,12,
339,ia-enron-email-dynamic,Interaction Networks,86978,1134990,0.00030006,38651,1,26,-0.0380836,821978470,9450,30365928,1.06918,0.259522,1501,21,
340,ia-enron-large,Interaction Networks,33696,180811,0.000318501,1383,1,10,-0.116499,2175933,64,17744,0.50919,0.0851297,44,17,
341,ia-enron-only,Interaction Networks,143,623,0.0613612,42,1,8,-0.0195359,2667,18,125,0.433907,0.359095,10,8,
342,ia-escorts-dynamic,Interaction Networks,10106,50619,0.000991352,616,1,10,-0.0625723,23375,2,2849,0.0117455,0.00790434,42,4,
343,ia-fb-messages,Interaction Networks,1266,6451,0.00805625,112,1,10,-0.084408,7473,5,242,0.06835,0.043903,12,5,
344,ia-infect-dublin,Interaction Networks,410,2765,0.0329775,50,1,13,0.225752,21342,52,280,0.455824,0.435693,18,12,
345,ia-infect-hyper,Interaction Networks,113,2196,0.347029,98,1,38,-0.12258,50601,447,1731,0.534756,0.495205,29,15,
346,ia-radoslaw-email,Interaction Networks,167,82876,5.97908,9053,1,992,0.154877,153210626,917428,8337193,4.50961,0.67962,2909,143,
347,ia-reality,Interaction Networks,6809,7680,0.000331351,261,1,2,-0.675344,1200,0,52,0.0177709,0.00240715,6,5,
348,ia-southernwomen,Interaction Networks,18,75,0.490196,16,2,8,-0.209384,418,23,55,0.744682,0.618343,8,6,
349,ia-wiki-Talk-dir,Interaction Networks,2394385,5021410,1.75E-06,100032,1,4,-0.288783,53666618,22,359836,0.0748236,0.0039699,185,20,
350,ia-wiki-Talk,Interaction Networks,92117,360767,8.50E-05,1220,1,7,-0.0343552,2509401,27,17699,0.058909,0.0468231,59,10,
351,ia-wiki-trust-dir,Interaction Networks,138587,740106,7.71E-05,11673,1,10,-0.0481331,11442122,82,196837,0.285752,0.0423993,65,23,
352,ia-wiki-user-edits-page,Interaction Networks,2094546,8998449,4.10E-06,1345416,1,8,0.99927,1051383270,501,113511080,1.40398,0.000655856,18386,17,
353,ia-wikiquote-user-edits,Interaction Networks,93445,549131,0.000125776,50292,1,11,0.945858,65489538,700,7472994,0.546276,0.0188248,2445,20,
354,eco-everglades,Ecology Networks,69,911,0.388321,81,5,26,-0.272358,14591,211,882,0.584242,0.475742,21,9,
355,eco-florida,Ecology Networks,128,2106,0.259104,110,2,32,-0.121845,26440,206,1745,0.344468,0.314011,24,8,
356,eco-foodweb-baydry,Ecology Networks,128,2137,0.262918,110,2,33,-0.115122,27280,213,1776,0.344024,0.316338,25,8,
357,eco-foodweb-baywet,Ecology Networks,128,2106,0.259104,110,2,32,-0.121845,26440,206,1745,0.344468,0.314011,24,8,
358,eco-mangwet,Ecology Networks,97,1492,0.320447,103,5,30,-0.157317,25146,259,1418,0.499065,0.430626,24,10,
359,eco-stmarks,Ecology Networks,54,353,0.246681,48,4,13,-0.227075,1987,36,216,0.413868,0.334174,11,6,
360,ca-cit-HepTh,Dynamic Networks,22908,2673133,0.0101881,11967,1,233,0.0244996,933582693,40753,5013183,0.809359,0.313687,562,101,
361,fb-forum,Dynamic Networks,899,33686,0.0834533,1841,1,74,0.109768,927089,1031,70504,0.155982,0.0935769,172,6,
362,fb-messages,Dynamic Networks,1899,59835,0.033202,1546,1,63,-0.0140929,1748739,920,80039,0.306496,0.0866222,198,93,
363,fb-wosn-friends,Dynamic Networks,63731,1269502,0.000625128,1826,1,39,0.163713,26650432,418,55041,0.211799,0.151545,85,26,
364,ia-contacts-dublin,Dynamic Networks,10972,415912,0.00691034,616,1,75,0.708161,30390488,2769,95997,1.06076,0.534481,414,93,
365,ia-contacts-hypertext2009,Dynamic Networks,113,20818,3.28982,1483,2,368,0.316861,7513085,66487,392110,1.50172,0.55472,1282,318,
366,ia-digg-reply,Dynamic Networks,30360,86203,0.000187052,298,1,5,0.0182675,14826,0,278,0.0059506,0.00611957,26,5,
367,ia-enron-email-dynamic,Dynamic Networks,86978,1134990,0.00030006,38651,1,26,-0.0380836,821978470,9450,30365928,1.06918,0.259522,1501,21,
368,ia-enron-employees,Dynamic Networks,150,268.5,0.024,20,0,3.72,-0.01,372,2.48,24,0.173,0.209,4,3,6
369,ia-escorts-dynamic,Dynamic Networks,10106,50619,0.000991352,616,1,10,-0.0625723,23375,2,2849,0.0117455,0.00790434,42,4,
370,ia-facebook-wall-wosn-dir,Dynamic Networks,42390,876992,0.000976133,876992,1,41,1.00027,0,0,0,0,0,1431,2,
371,ia-movielens-user2tags-10m,Dynamic Networks,16528,95575,0.000699777,6014,1,11,-0.177264,453416,27,55076,0.0686937,0.00636504,641,21,
372,ia-radoslaw-email,Dynamic Networks,167,82876,5.97908,9053,1,992,0.154877,153210626,917428,8337193,4.50961,0.67962,2909,143,
373,ia-reality-call,Dynamic Networks,6809,51247,0.00221103,2972,1,15,-0.315687,923729,135,97298,0.362203,0.0299949,967,116,
374,ia-retweet-pol,Dynamic Networks,18470,61157,0.000358563,1022,1,6,-0.0560735,377282,20,14669,0.0596484,0.0576168,80,44,
375,ia-slashdot-reply-dir,Dynamic Networks,51083,139789,0.000107142,3357,1,5,-0.0293716,130570,2,9710,0.0259495,0.00915838,31,6,
376,ia-stackexch-user-marks-post-und,Dynamic Networks,545196,1302420,8.76E-06,6121,1,4,-0.0496769,230397,0,11932,0.00128994,0.00106668,26,6,
377,rec-epinions-user-ratings,Dynamic Networks,755760,13668281,4.79E-05,162200,1,36,-0.55624,44205628,58,2227704,0.0406134,0.000635853,152,11,
378,soc-epinions-trust-dir,Dynamic Networks,131580,840799,9.71E-05,3622,1,12,-0.0362489,27927306,212,107668,0.156481,0.111073,180,83,
379,soc-flickr-growth,Dynamic Networks,2302925,33140017,1.25E-05,34174,1,28,0.0335899,5807443119,2521,6816553,0.186067,0.125396,947,53,
380,soc-wiki-elec,Dynamic Networks,7115,107013,0.00422842,1346,1,30,-0.0516799,2520117,354,55979,0.173828,0.14237,61,17,
381,soc-youtube-growth,Dynamic Networks,3223589,12223774,2.35E-06,129819,1,7,1.02146,64714493,20,596616,0.0771526,0.00129508,124,19,
544,ENZYMES-g1,Cheminformatics,37,168,0.2523,7,0,4.54,-0.02,149,4.03,6.5,0.523,0.482,4,2,5
545,ENZYMES-g10,Cheminformatics,32,106,0.2137,5,0,3.31,-0.03,68,2.13,4,0.562,0.548,3,2,4
546,ENZYMES-g100,Cheminformatics,5,18,1.8,4,0,3.6,-0.23,15,3,4,0.6,0.714,3,2,4
547,ENZYMES-g101,Cheminformatics,45,176,0.1778,7,0,3.91,-0.02,68,1.51,5,0.266,0.25,3,1,4
548,ENZYMES-g102,Cheminformatics,42,164,0.1905,6,0,3.9,-0.02,50,1.19,3,0.223,0.203,3,1,4
549,ENZYMES-g103,Cheminformatics,59,230,0.1344,9,0,3.9,-0.03,73,1.24,4,0.22,0.202,3,2,4
550,ENZYMES-g104,Cheminformatics,32,128,0.2581,5,0,4,-0.03,71,2.22,4,0.357,0.36,3,2,4
551,ENZYMES-g105,Cheminformatics,33,138,0.2614,7,0,4.18,-0.04,82,2.48,7,0.365,0.364,3,2,4
552,ENZYMES-g106,Cheminformatics,17,60,0.4412,5,0,3.53,-0.09,38,2.24,5,0.549,0.543,3,2,4
553,ENZYMES-g107,Cheminformatics,39,166,0.224,8,0,4.26,-0.06,123,3.15,8.5,0.449,0.432,4,3,5
554,ENZYMES-g108,Cheminformatics,38,164,0.2333,8,0,4.32,-0.05,121,3.18,9,0.459,0.429,3,2,5
555,ENZYMES-g109,Cheminformatics,35,140,0.2353,6,0,4,-0.04,97,2.77,6,0.443,0.439,3,2,5
556,ENZYMES-g11,Cheminformatics,4,12,2,3,0,3,-0.33,6,1.5,2,0.5,0.667,3,2,3
557,ENZYMES-g110,Cheminformatics,16,58,0.4833,5,0,3.63,-0.1,39,2.44,5,0.556,0.549,3,2,4
558,ENZYMES-g111,Cheminformatics,26,98,0.3015,6,0,3.77,-0.04,76,2.92,6,0.608,0.543,3,2,4
559,ENZYMES-g112,Cheminformatics,51,190,0.149,5,0,3.73,-0.03,50,0.98,3,0.165,0.193,3,2,4
560,ENZYMES-g113,Cheminformatics,52,196,0.1478,6,0,3.77,-0.03,59,1.13,6,0.181,0.215,3,2,4
561,ENZYMES-g114,Cheminformatics,25,94,0.3133,5,0,3.76,-0.05,69,2.76,5,0.543,0.527,3,2,4
562,ENZYMES-g115,Cheminformatics,27,102,0.2906,5,0,3.78,-0.04,69,2.56,4,0.504,0.486,3,2,4
563,ENZYMES-g116,Cheminformatics,42,148,0.1719,5,0,3.52,-0.03,108,2.57,6,0.567,0.563,3,2,5
564,ENZYMES-g117,Cheminformatics,46,180,0.1739,8,0,3.91,-0.03,59,1.28,7,0.19,0.208,3,2,4
565,ENZYMES-g118,Cheminformatics,95,242,0.0542,5,0,2.55,0.01,0,0,0,0,0,2,0,3
566,ENZYMES-g119,Cheminformatics,12,44,0.6667,5,0,3.67,-0.09,38,3.17,6,0.686,0.623,3,2,4
567,ENZYMES-g12,Cheminformatics,14,56,0.6154,6,0,4,-0.05,51,3.64,8,0.586,0.586,3,2,4
568,ENZYMES-g120,Cheminformatics,22,92,0.3983,7,0,4.18,-0.02,68,3.09,9,0.465,0.422,3,2,5
569,ENZYMES-g121,Cheminformatics,42,164,0.1905,9,0,3.9,-0.01,93,2.21,12,0.342,0.351,3,2,6
570,ENZYMES-g122,Cheminformatics,14,58,0.6374,6,0,4.14,-0.09,54,3.86,8,0.557,0.587,4,3,5
571,ENZYMES-g123,Cheminformatics,90,254,0.0634,9,0,2.82,-0.03,29,0.32,2,0.099,0.092,3,1,4
572,ENZYMES-g124,Cheminformatics,14,62,0.6813,6,0,4.43,-0.1,59,4.21,7.5,0.585,0.578,4,2,5
573,ENZYMES-g125,Cheminformatics,14,66,0.7253,6,0,4.71,-0.12,54,3.86,6,0.486,0.5,4,2,5
