Graph,Dc#Collection,C#Nodes,C#Edges,C#Density,C#Maximum degree,C#Minimum degree,C#Average degree,C#Assortativity,C#Total triangles,C#Average triangles,C#Maximum triangles,C#Avg. clustering coef.,C#Frac. closed triangles,C#Maximum k-core,C#Max. clique (lb),C#Upper bound of Chromatic number
ENZYMES-g230,Cheminformatics,32,136,0.2742,7,0,4.25,-0.03,105,3.28,7,0.516,0.469,3,2,5
ENZYMES-g231,Cheminformatics,33,152,0.2879,6,0,4.61,-0.04,113,3.42,6,0.447,0.411,3,2,4
ENZYMES-g232,Cheminformatics,29,130,0.3202,6,0,4.48,-0.05,98,3.38,6,0.471,0.436,3,2,4
ENZYMES-g233,Cheminformatics,39,142,0.1916,8,0,3.64,-0.04,63,1.62,5,0.366,0.306,3,2,4
ENZYMES-g234,Cheminformatics,34,140,0.2496,6,0,4.12,-0.04,61,1.79,5,0.27,0.269,3,2,4
ENZYMES-g235,Cheminformatics,36,142,0.2254,6,0,3.94,-0.04,90,2.5,6,0.381,0.425,3,2,5
ENZYMES-g236,Cheminformatics,21,70,0.3333,6,0,3.33,-0.08,42,2,5,0.46,0.477,3,2,4
ENZYMES-g237,Cheminformatics,6,22,1.4667,5,0,3.67,-0.27,12,2,4,0.511,0.545,3,2,3
ENZYMES-g238,Cheminformatics,22,100,0.4329,7,0,4.55,-0.06,71,3.23,8,0.421,0.376,4,2,5
ENZYMES-g239,Cheminformatics,18,80,0.5229,7,0,4.44,-0.11,45,2.5,7,0.34,0.331,4,2,4
ENZYMES-g24,Cheminformatics,42,184,0.2137,6,0,4.38,-0.03,145,3.45,8,0.499,0.463,3,2,5
ENZYMES-g240,Cheminformatics,18,82,0.5359,7,0,4.56,-0.11,48,2.67,7,0.331,0.336,4,2,4
ENZYMES-g241,Cheminformatics,34,128,0.2282,5,0,3.76,-0.03,90,2.65,5,0.517,0.497,3,2,4
ENZYMES-g242,Cheminformatics,32,122,0.246,5,0,3.81,-0.03,93,2.91,5,0.555,0.534,3,2,5
ENZYMES-g243,Cheminformatics,33,124,0.2348,5,0,3.76,-0.03,93,2.82,5,0.548,0.534,3,2,5
ENZYMES-g244,Cheminformatics,28,124,0.328,6,0,4.43,-0.03,101,3.61,6,0.532,0.451,3,2,4
ENZYMES-g245,Cheminformatics,40,176,0.2256,7,0,4.4,-0.04,150,3.75,6,0.54,0.502,3,2,5
ENZYMES-g246,Cheminformatics,42,152,0.1765,5,0,3.62,-0.03,114,2.71,5,0.587,0.562,3,2,5
ENZYMES-g247,Cheminformatics,39,116,0.1565,6,0,2.97,-0.04,21,0.54,4,0.169,0.158,3,2,4
ENZYMES-g248,Cheminformatics,28,96,0.254,5,0,3.43,-0.03,14,0.5,3,0.088,0.117,3,1,4
ENZYMES-g249,Cheminformatics,29,104,0.2562,5,0,3.59,-0.04,26,0.9,3,0.166,0.193,3,2,4
ENZYMES-g25,Cheminformatics,41,176,0.2146,6,0,4.29,-0.02,141,3.44,7,0.506,0.468,3,2,5
ENZYMES-g250,Cheminformatics,30,134,0.308,8,0,4.47,-0.05,74,2.47,7.5,0.34,0.307,3,2,5
ENZYMES-g251,Cheminformatics,14,52,0.5714,5,0,3.71,-0.12,39,2.79,4,0.661,0.6,3,2,4
ENZYMES-g252,Cheminformatics,32,120,0.2419,5,0,3.75,-0.02,93,2.91,5,0.579,0.544,3,2,5
ENZYMES-g253,Cheminformatics,35,132,0.2218,6,0,3.77,-0.02,62,1.77,5,0.31,0.32,3,2,4
ENZYMES-g254,Cheminformatics,24,80,0.2899,7,0,3.33,-0.07,7,0.29,1.5,0.062,0.065,2,1,4
ENZYMES-g255,Cheminformatics,17,60,0.4412,5,0,3.53,-0.05,42,2.47,5,0.557,0.545,3,2,4
ENZYMES-g256,Cheminformatics,18,66,0.4314,6,0,3.67,-0.03,54,3,7,0.619,0.593,3,2,4
ENZYMES-g257,Cheminformatics,16,58,0.4833,5,0,3.63,-0.05,45,2.81,5,0.594,0.592,3,2,4
ENZYMES-g258,Cheminformatics,19,72,0.4211,6,0,3.79,-0.08,59,3.11,6,0.632,0.608,3,2,4
ENZYMES-g259,Cheminformatics,19,70,0.4094,6,0,3.68,-0.07,57,3,6,0.643,0.606,3,2,4
ENZYMES-g26,Cheminformatics,40,170,0.2179,7,0,4.25,-0.02,145,3.63,8,0.553,0.505,3,2,4
ENZYMES-g260,Cheminformatics,21,84,0.4,7,0,4,-0.04,78,3.71,8,0.644,0.574,4,2,5
ENZYMES-g261,Cheminformatics,23,104,0.4111,7,0,4.52,-0.04,99,4.3,8,0.593,0.521,3,2,5
ENZYMES-g262,Cheminformatics,25,102,0.34,6,0,4.08,-0.05,83,3.32,5.5,0.565,0.519,3,2,4
ENZYMES-g263,Cheminformatics,27,120,0.3419,6,0,4.44,-0.06,107,3.96,7,0.544,0.519,4,2,5
ENZYMES-g264,Cheminformatics,24,96,0.3478,6,0,4,-0.05,75,3.13,5,0.544,0.521,3,2,5
ENZYMES-g265,Cheminformatics,24,98,0.3551,5,0,4.08,-0.06,74,3.08,5,0.535,0.507,3,2,4
ENZYMES-g266,Cheminformatics,32,122,0.246,7,0,3.81,-0.04,94,2.94,7,0.565,0.528,3,2,5
ENZYMES-g267,Cheminformatics,31,118,0.2538,7,0,3.81,-0.05,95,3.06,7,0.613,0.549,3,2,4
ENZYMES-g268,Cheminformatics,33,142,0.2689,8,0,4.3,-0.03,116,3.52,10,0.504,0.462,3,2,5
ENZYMES-g269,Cheminformatics,34,146,0.2602,8,0,4.29,-0.02,119,3.5,10,0.505,0.467,3,2,4
ENZYMES-g27,Cheminformatics,37,166,0.2492,7,0,4.49,-0.04,138,3.73,9,0.501,0.463,3,2,5
ENZYMES-g270,Cheminformatics,32,120,0.2419,6,0,3.75,-0.04,92,2.88,5,0.608,0.558,3,2,5
ENZYMES-g271,Cheminformatics,32,140,0.2823,6,0,4.38,-0.03,124,3.88,7,0.553,0.519,3,2,4
ENZYMES-g272,Cheminformatics,44,156,0.1649,6,0,3.55,-0.05,47,1.07,5.5,0.229,0.223,3,2,4
ENZYMES-g273,Cheminformatics,40,168,0.2154,7,0,4.2,-0.03,163,4.08,10,0.581,0.572,4,3,5
ENZYMES-g274,Cheminformatics,40,146,0.1872,6,0,3.65,-0.03,83,2.08,6,0.396,0.419,3,2,4
ENZYMES-g275,Cheminformatics,38,122,0.1735,6,0,3.21,-0.05,53,1.39,3,0.406,0.366,3,1,3
ENZYMES-g276,Cheminformatics,30,112,0.2575,7,0,3.73,-0.06,43,1.43,7,0.226,0.269,3,2,4
ENZYMES-g277,Cheminformatics,38,140,0.1991,6,0,3.68,-0.04,75,1.97,6,0.391,0.385,3,2,5
ENZYMES-g278,Cheminformatics,44,170,0.1797,6,0,3.86,-0.02,70,1.59,5,0.309,0.277,3,1,4
ENZYMES-g279,Cheminformatics,60,214,0.1209,6,0,3.57,-0.03,54,0.9,3,0.166,0.178,3,1,4
ENZYMES-g28,Cheminformatics,23,98,0.3874,6,0,4.26,-0.04,83,3.61,7,0.536,0.519,4,2,4
ENZYMES-g280,Cheminformatics,28,102,0.2698,5,0,3.64,-0.05,74,2.64,5,0.561,0.548,3,2,4
ENZYMES-g281,Cheminformatics,16,64,0.5333,7,0,4,-0.08,63,3.94,8,0.675,0.606,3,2,4
ENZYMES-g282,Cheminformatics,50,172,0.1404,6,0,3.44,-0.02,33,0.66,5,0.127,0.149,3,1,4
ENZYMES-g283,Cheminformatics,52,174,0.1312,5,0,3.35,-0.03,35,0.67,4,0.108,0.157,3,1,4
ENZYMES-g284,Cheminformatics,48,156,0.1383,5,0,3.25,-0.03,31,0.65,3,0.132,0.164,3,1,4
ENZYMES-g285,Cheminformatics,50,168,0.1371,5,0,3.36,-0.02,40,0.8,3,0.157,0.188,3,1,4
ENZYMES-g286,Cheminformatics,42,164,0.1905,6,0,3.9,-0.03,138,3.29,6,0.621,0.563,3,2,5
ENZYMES-g287,Cheminformatics,43,166,0.1838,7,0,3.86,-0.03,150,3.49,9,0.662,0.605,3,2,5
ENZYMES-g288,Cheminformatics,41,158,0.1927,7,0,3.85,-0.03,138,3.37,9,0.648,0.585,3,2,5
ENZYMES-g289,Cheminformatics,39,160,0.2159,6,0,4.1,-0.03,106,2.72,7,0.439,0.417,3,2,5
ENZYMES-g29,Cheminformatics,22,94,0.4069,6,0,4.27,-0.04,86,3.91,7,0.567,0.562,4,2,5
ENZYMES-g290,Cheminformatics,38,148,0.2105,6,0,3.89,-0.03,130,3.42,6.5,0.624,0.575,3,2,5
ENZYMES-g291,Cheminformatics,62,208,0.11,6,0,3.35,-0.03,55,0.89,4,0.155,0.204,3,2,4
ENZYMES-g292,Cheminformatics,60,200,0.113,6,0,3.33,-0.03,54,0.9,4,0.167,0.213,3,2,3
ENZYMES-g293,Cheminformatics,96,218,0.0478,6,0,2.27,-0.03,12,0.13,2,0.049,0.077,2,1,3
ENZYMES-g294,Cheminformatics,54,198,0.1384,6,0,3.67,-0.02,38,0.7,4,0.126,0.139,3,1,4
ENZYMES-g295,Cheminformatics,123,278,0.0371,5,0,2.26,0,6,0.05,2,0.006,0.029,2,1,4
ENZYMES-g296,Cheminformatics,125,282,0.0364,5,0,2.26,0,2,0.02,1,0.002,0.01,2,1,3
ENZYMES-g297,Cheminformatics,121,298,0.041,7,0,2.46,0,23,0.19,3,0.047,0.086,2,1,3
ENZYMES-g298,Cheminformatics,24,102,0.3696,6,0,4.25,-0.01,78,3.25,5,0.467,0.453,3,2,5
ENZYMES-g299,Cheminformatics,41,148,0.1805,5,0,3.61,-0.02,107,2.61,5,0.553,0.54,3,2,4
ENZYMES-g3,Cheminformatics,25,92,0.3067,6,0,3.68,-0.06,73,2.92,6,0.657,0.57,3,2,4
ENZYMES-g30,Cheminformatics,34,132,0.2353,6,0,3.88,-0.02,110,3.24,7,0.574,0.553,3,2,5
ENZYMES-g300,Cheminformatics,49,186,0.1582,7,0,3.8,-0.02,45,0.92,6,0.12,0.162,3,1,4
ENZYMES-g301,Cheminformatics,44,178,0.1882,7,0,4.05,-0.04,83,1.89,5,0.299,0.285,3,2,4
ENZYMES-g302,Cheminformatics,42,168,0.1951,8,0,4,-0.05,80,1.9,5,0.317,0.288,3,2,4
ENZYMES-g303,Cheminformatics,41,166,0.2024,7,0,4.05,-0.02,79,1.93,7,0.285,0.297,3,2,5
ENZYMES-g304,Cheminformatics,42,164,0.1905,8,0,3.9,-0.03,70,1.67,9,0.278,0.27,3,2,4
ENZYMES-g305,Cheminformatics,46,186,0.1797,7,0,4.04,-0.03,90,1.96,6,0.317,0.295,3,2,5
ENZYMES-g306,Cheminformatics,55,196,0.132,6,0,3.56,-0.02,77,1.4,4,0.258,0.287,3,2,4
ENZYMES-g307,Cheminformatics,50,184,0.1502,6,0,3.68,-0.03,55,1.1,3,0.178,0.21,3,2,4
ENZYMES-g308,Cheminformatics,42,164,0.1905,8,0,3.9,-0.03,70,1.67,9,0.278,0.27,3,2,4
ENZYMES-g309,Cheminformatics,48,188,0.1667,8,0,3.92,-0.03,82,1.71,4,0.31,0.262,3,2,4
ENZYMES-g31,Cheminformatics,38,162,0.2304,7,0,4.26,-0.02,126,3.32,7,0.538,0.458,3,2,5
ENZYMES-g310,Cheminformatics,51,198,0.1553,8,0,3.88,-0.03,57,1.12,4,0.205,0.184,3,1,4
ENZYMES-g311,Cheminformatics,24,100,0.3623,6,0,4.17,-0.02,39,1.63,5,0.237,0.239,3,1,4
ENZYMES-g312,Cheminformatics,51,178,0.1396,7,0,3.49,-0.02,82,1.61,5,0.483,0.319,3,2,5
ENZYMES-g313,Cheminformatics,52,192,0.1448,8,0,3.69,-0.02,55,1.06,5,0.258,0.191,3,1,4
ENZYMES-g314,Cheminformatics,22,76,0.329,5,0,3.45,-0.04,26,1.18,3,0.265,0.277,3,1,4
ENZYMES-g315,Cheminformatics,44,184,0.1945,7,0,4.18,-0.02,101,2.3,6,0.308,0.32,3,2,5
ENZYMES-g316,Cheminformatics,44,180,0.1903,7,0,4.09,-0.04,95,2.16,6,0.324,0.335,3,2,4
ENZYMES-g317,Cheminformatics,31,128,0.2753,6,0,4.13,-0.05,84,2.71,7,0.448,0.414,3,2,4
ENZYMES-g318,Cheminformatics,27,106,0.302,7,0,3.93,-0.01,80,2.96,8,0.486,0.482,3,2,5
ENZYMES-g319,Cheminformatics,25,90,0.3,5,0,3.6,-0.06,67,2.68,6,0.581,0.588,3,2,4
ENZYMES-g32,Cheminformatics,38,158,0.2248,7,0,4.16,-0.01,123,3.24,7,0.557,0.477,3,2,5
ENZYMES-g320,Cheminformatics,38,106,0.1508,6,0,2.79,-0.05,19,0.5,3,0.112,0.176,3,1,4
ENZYMES-g321,Cheminformatics,21,84,0.4,6,0,4,-0.04,69,3.29,6,0.619,0.527,3,2,5
ENZYMES-g322,Cheminformatics,29,114,0.2808,6,0,3.93,-0.04,81,2.79,5,0.533,0.46,3,2,4
ENZYMES-g323,Cheminformatics,20,74,0.3895,5,0,3.7,-0.06,58,2.9,4,0.635,0.592,3,2,4
ENZYMES-g324,Cheminformatics,21,74,0.3524,5,0,3.52,-0.05,57,2.71,4,0.621,0.6,3,2,4
ENZYMES-g325,Cheminformatics,50,196,0.16,7,0,3.92,-0.02,66,1.32,4,0.223,0.221,3,2,4
ENZYMES-g326,Cheminformatics,46,192,0.1855,7,0,4.17,-0.02,100,2.17,6,0.305,0.306,3,2,4
ENZYMES-g327,Cheminformatics,49,188,0.1599,5,0,3.84,-0.03,73,1.49,5,0.275,0.264,3,2,5
ENZYMES-g328,Cheminformatics,27,98,0.2792,5,0,3.63,-0.04,78,2.89,5,0.601,0.582,3,2,5
ENZYMES-g329,Cheminformatics,12,44,0.6667,6,0,3.67,-0.1,32,2.67,6,0.575,0.561,3,2,4
ENZYMES-g33,Cheminformatics,39,164,0.2213,7,0,4.21,-0.02,121,3.1,7,0.509,0.45,3,2,4
ENZYMES-g330,Cheminformatics,14,52,0.5714,7,0,3.71,-0.16,18,1.29,6,0.211,0.273,3,2,3
ENZYMES-g331,Cheminformatics,23,96,0.3794,7,0,4.17,-0.03,89,3.87,8,0.599,0.549,3,2,4
ENZYMES-g332,Cheminformatics,24,102,0.3696,7,0,4.25,-0.03,101,4.21,9,0.612,0.571,3,2,5
ENZYMES-g333,Cheminformatics,33,122,0.2311,5,0,3.7,-0.04,96,2.91,5,0.62,0.578,3,2,5
ENZYMES-g334,Cheminformatics,27,102,0.2906,6,0,3.78,-0.03,84,3.11,8,0.588,0.564,3,2,4
ENZYMES-g335,Cheminformatics,25,102,0.34,6,0,4.08,-0.03,78,3.12,6,0.556,0.462,3,2,4
ENZYMES-g336,Cheminformatics,28,104,0.2751,5,0,3.71,-0.04,73,2.61,6,0.525,0.497,3,2,5
ENZYMES-g337,Cheminformatics,28,108,0.2857,6,0,3.86,-0.04,92,3.29,7,0.584,0.561,3,2,5
ENZYMES-g338,Cheminformatics,12,44,0.6667,6,0,3.67,-0.09,36,3,6,0.617,0.6,3,2,4
ENZYMES-g339,Cheminformatics,26,98,0.3015,5,0,3.77,-0.04,72,2.77,6,0.536,0.514,3,2,4
ENZYMES-g34,Cheminformatics,8,28,1,5,0,3.5,-0.12,21,2.63,4,0.621,0.618,3,2,4
ENZYMES-g340,Cheminformatics,28,98,0.2593,6,0,3.5,-0.03,62,2.21,7,0.451,0.5,3,2,4
ENZYMES-g341,Cheminformatics,28,108,0.2857,5,0,3.86,-0.03,95,3.39,7,0.618,0.594,3,2,5
ENZYMES-g342,Cheminformatics,26,98,0.3015,5,0,3.77,-0.04,69,2.65,6,0.513,0.493,3,2,4
ENZYMES-g343,Cheminformatics,24,90,0.3261,5,0,3.75,-0.04,72,3,6,0.577,0.576,3,2,4
ENZYMES-g344,Cheminformatics,23,78,0.3083,5,0,3.39,-0.03,58,2.52,5,0.623,0.611,3,2,5
ENZYMES-g345,Cheminformatics,27,116,0.3305,6,0,4.3,-0.03,103,3.81,8,0.564,0.52,3,2,4
ENZYMES-g346,Cheminformatics,39,134,0.1808,5,0,3.44,-0.03,87,2.23,5,0.519,0.521,3,2,4
ENZYMES-g347,Cheminformatics,42,174,0.2021,6,0,4.14,-0.02,88,2.1,4,0.337,0.306,3,2,4
ENZYMES-g348,Cheminformatics,42,170,0.1974,6,0,4.05,-0.02,76,1.81,5,0.315,0.278,3,2,4
ENZYMES-g349,Cheminformatics,64,236,0.1171,8,0,3.69,0,78,1.22,5,0.24,0.21,3,2,4
ENZYMES-g35,Cheminformatics,23,88,0.3478,5,0,3.83,-0.06,63,2.74,5,0.538,0.521,3,2,5
ENZYMES-g350,Cheminformatics,38,142,0.202,6,0,3.74,-0.03,55,1.45,3,0.333,0.267,3,1,4
ENZYMES-g351,Cheminformatics,22,84,0.3636,6,0,3.82,-0.06,31,1.41,4,0.243,0.261,3,1,4
ENZYMES-g352,Cheminformatics,9,16,0.4444,2,0,1.78,-0.27,0,0,0,0,0,1,0,2
ENZYMES-g353,Cheminformatics,26,102,0.3138,7,0,3.92,-0.04,74,2.85,7,0.52,0.493,3,2,5
ENZYMES-g354,Cheminformatics,19,84,0.4912,7,0,4.42,-0.09,39,2.05,4,0.387,0.262,3,1,4
ENZYMES-g355,Cheminformatics,66,224,0.1044,6,0,3.39,-0.03,20,0.3,2,0.081,0.067,3,1,3
ENZYMES-g356,Cheminformatics,27,112,0.3191,7,0,4.15,-0.06,91,3.37,9,0.541,0.5,3,2,5
ENZYMES-g357,Cheminformatics,34,124,0.221,6,0,3.65,-0.02,29,0.85,4,0.128,0.166,3,1,4
ENZYMES-g358,Cheminformatics,28,112,0.2963,6,0,4,-0.03,49,1.75,4,0.321,0.287,3,1,4
ENZYMES-g359,Cheminformatics,26,92,0.2831,5,0,3.54,-0.04,15,0.58,2.5,0.139,0.125,3,1,4
ENZYMES-g36,Cheminformatics,42,162,0.1882,8,0,3.86,-0.04,75,1.79,7,0.308,0.306,3,2,4
ENZYMES-g360,Cheminformatics,26,108,0.3323,7,0,4.15,-0.03,53,2.04,6,0.278,0.29,3,1,4
ENZYMES-g361,Cheminformatics,28,118,0.3122,6,0,4.21,-0.05,44,1.57,4.5,0.217,0.226,3,2,4
ENZYMES-g362,Cheminformatics,19,82,0.4795,6,0,4.32,-0.04,75,3.95,7,0.579,0.54,3,2,4
ENZYMES-g363,Cheminformatics,20,92,0.4842,6,0,4.6,-0.03,86,4.3,6,0.52,0.512,3,2,4
ENZYMES-g364,Cheminformatics,20,98,0.5158,7,0,4.9,-0.04,83,4.15,7,0.426,0.43,3,2,5
ENZYMES-g365,Cheminformatics,42,150,0.1742,6,0,3.57,-0.03,36,0.86,4,0.203,0.181,3,1,4
ENZYMES-g366,Cheminformatics,42,152,0.1765,6,0,3.62,-0.03,48,1.14,6,0.234,0.231,3,1,4
ENZYMES-g367,Cheminformatics,15,50,0.4762,5,0,3.33,-0.09,10,0.67,2,0.241,0.185,2,1,3
ENZYMES-g368,Cheminformatics,11,38,0.6909,5,0,3.45,-0.14,10,0.91,2,0.314,0.238,2,1,3
ENZYMES-g369,Cheminformatics,10,34,0.7556,4,0,3.4,-0.17,4,0.4,1.5,0.125,0.111,2,1,2
ENZYMES-g37,Cheminformatics,42,160,0.1858,7,0,3.81,-0.04,69,1.64,5,0.295,0.296,3,2,4
ENZYMES-g370,Cheminformatics,12,48,0.7273,6,0,4,-0.15,18,1.5,4,0.217,0.277,4,2,4
ENZYMES-g371,Cheminformatics,30,104,0.2391,6,0,3.47,-0.04,23,0.77,3,0.157,0.172,3,1,4
ENZYMES-g372,Cheminformatics,15,52,0.4952,5,0,3.47,-0.1,14,0.93,2,0.22,0.219,3,1,3
ENZYMES-g373,Cheminformatics,10,40,0.8889,5,0,4,-0.14,30,3,5,0.573,0.517,3,2,4
ENZYMES-g374,Cheminformatics,18,68,0.4444,6,0,3.78,-0.1,30,1.67,4.5,0.286,0.319,3,2,4
ENZYMES-g375,Cheminformatics,22,80,0.3463,6,0,3.64,-0.1,22,1,5,0.171,0.216,3,2,3
ENZYMES-g376,Cheminformatics,12,44,0.6667,5,0,3.67,-0.11,10,0.83,2,0.204,0.185,3,1,3
ENZYMES-g377,Cheminformatics,36,140,0.2222,6,0,3.89,-0.04,98,2.72,6,0.52,0.483,3,2,5
ENZYMES-g378,Cheminformatics,30,102,0.2345,6,0,3.4,-0.04,17,0.57,3,0.128,0.134,3,1,3
ENZYMES-g379,Cheminformatics,30,104,0.2391,6,0,3.47,-0.04,23,0.77,3,0.157,0.172,3,1,4
ENZYMES-g38,Cheminformatics,28,32,0.0847,1,0,1.14,0.14,0,0,0,0,0,1,0,2
ENZYMES-g380,Cheminformatics,36,122,0.1937,5,0,3.39,-0.03,50,1.39,5,0.303,0.338,3,2,5
ENZYMES-g381,Cheminformatics,33,116,0.2197,5,0,3.52,-0.04,85,2.58,5,0.611,0.599,3,2,4
ENZYMES-g382,Cheminformatics,48,188,0.1667,7,0,3.92,-0.01,77,1.6,6,0.257,0.266,3,1,5
ENZYMES-g383,Cheminformatics,27,104,0.2963,6,0,3.85,-0.04,78,2.89,6,0.528,0.503,3,2,4
ENZYMES-g384,Cheminformatics,27,108,0.3077,6,0,4,-0.04,81,3,7,0.51,0.482,3,2,4
ENZYMES-g385,Cheminformatics,16,58,0.4833,5,0,3.63,-0.1,22,1.38,4,0.365,0.297,3,1,3
ENZYMES-g386,Cheminformatics,7,28,1.3333,6,0,4,-0.14,27,3.86,7,0.629,0.628,3,2,4
ENZYMES-g387,Cheminformatics,16,56,0.4667,6,0,3.5,-0.07,27,1.69,4,0.385,0.36,3,2,3
ENZYMES-g388,Cheminformatics,35,128,0.2151,7,0,3.66,-0.02,68,1.94,7,0.39,0.37,3,2,4
ENZYMES-g389,Cheminformatics,28,110,0.291,6,0,3.93,-0.03,87,3.11,7,0.531,0.521,3,2,5
ENZYMES-g39,Cheminformatics,24,86,0.3116,6,0,3.58,-0.07,69,2.88,5,0.663,0.595,3,2,4
ENZYMES-g390,Cheminformatics,40,162,0.2077,6,0,4.05,-0.03,135,3.38,7,0.561,0.529,3,2,5
ENZYMES-g391,Cheminformatics,26,102,0.3138,5,0,3.92,-0.04,83,3.19,6,0.564,0.565,3,2,5
ENZYMES-g392,Cheminformatics,48,178,0.1578,7,0,3.71,-0.02,74,1.54,8,0.258,0.281,3,1,4
ENZYMES-g393,Cheminformatics,15,56,0.5333,5,0,3.73,-0.06,42,2.8,5,0.56,0.545,3,2,4
ENZYMES-g394,Cheminformatics,11,44,0.8,6,0,4,-0.06,39,3.55,6,0.582,0.574,3,2,5
ENZYMES-g395,Cheminformatics,50,196,0.16,7,0,3.92,-0.01,89,1.78,7,0.255,0.292,3,2,5
ENZYMES-g396,Cheminformatics,18,70,0.4575,6,0,3.89,-0.01,46,2.56,6,0.428,0.422,3,2,5
ENZYMES-g397,Cheminformatics,19,78,0.4561,6,0,4.11,-0.01,55,2.89,6,0.436,0.43,3,2,5
ENZYMES-g398,Cheminformatics,14,46,0.5055,4,0,3.29,-0.11,4,0.29,1.5,0.101,0.083,2,1,2
ENZYMES-g399,Cheminformatics,21,86,0.4095,6,0,4.1,-0.04,66,3.14,7,0.533,0.471,3,2,5
ENZYMES-g4,Cheminformatics,24,90,0.3261,5,0,3.75,-0.05,73,3.04,5,0.603,0.598,3,2,4
ENZYMES-g40,Cheminformatics,24,100,0.3623,7,0,4.17,-0.05,81,3.38,6,0.564,0.491,3,2,5
ENZYMES-g400,Cheminformatics,37,116,0.1742,6,0,3.14,-0.02,9,0.24,2,0.05,0.062,2,1,4
ENZYMES-g401,Cheminformatics,48,194,0.172,7,0,4.04,-0.03,75,1.56,5,0.216,0.229,3,2,5
ENZYMES-g402,Cheminformatics,25,102,0.34,7,0,4.08,-0.06,58,2.32,6,0.375,0.363,3,2,5
ENZYMES-g403,Cheminformatics,28,114,0.3016,6,0,4.07,-0.06,44,1.57,4,0.254,0.257,3,1,4
ENZYMES-g404,Cheminformatics,33,112,0.2121,4,0,3.39,-0.04,21,0.64,3,0.139,0.16,3,2,4
ENZYMES-g405,Cheminformatics,29,100,0.2463,4,0,3.45,-0.05,21,0.72,3,0.158,0.176,3,2,4
ENZYMES-g406,Cheminformatics,33,128,0.2424,6,0,3.88,-0.05,58,1.76,5,0.32,0.317,3,2,4
ENZYMES-g407,Cheminformatics,30,120,0.2759,5,0,4,-0.01,50,1.67,4,0.294,0.269,3,1,4
ENZYMES-g408,Cheminformatics,33,132,0.25,8,0,4,-0.05,97,2.94,10,0.448,0.46,3,2,5
ENZYMES-g409,Cheminformatics,32,120,0.2419,6,0,3.75,-0.05,61,1.91,8,0.36,0.359,3,2,4
ENZYMES-g41,Cheminformatics,47,190,0.1758,7,0,4.04,-0.01,110,2.34,5,0.387,0.356,3,2,5
ENZYMES-g410,Cheminformatics,28,124,0.328,7,0,4.43,-0.06,108,3.86,7.5,0.548,0.507,3,2,4
ENZYMES-g411,Cheminformatics,37,138,0.2072,6,0,3.73,-0.05,54,1.46,5,0.265,0.277,3,2,5
ENZYMES-g412,Cheminformatics,36,136,0.2159,6,0,3.78,-0.03,63,1.75,6,0.319,0.318,3,2,5
ENZYMES-g413,Cheminformatics,38,158,0.2248,7,0,4.16,-0.04,76,2,4,0.35,0.296,3,2,4
ENZYMES-g414,Cheminformatics,37,146,0.2192,7,0,3.95,-0.05,79,2.14,5,0.354,0.359,3,2,4
ENZYMES-g415,Cheminformatics,34,152,0.2709,6,0,4.47,-0.01,71,2.09,6,0.284,0.259,3,2,4
ENZYMES-g416,Cheminformatics,24,92,0.3333,6,0,3.83,-0.07,32,1.33,6.5,0.184,0.244,3,2,4
ENZYMES-g417,Cheminformatics,25,94,0.3133,5,0,3.76,-0.05,29,1.16,4,0.178,0.221,3,2,4
ENZYMES-g418,Cheminformatics,41,152,0.1854,5,0,3.71,-0.03,113,2.76,6,0.57,0.536,3,2,5
ENZYMES-g419,Cheminformatics,27,102,0.2906,7,0,3.78,-0.05,37,1.37,5,0.184,0.248,3,1,4
ENZYMES-g42,Cheminformatics,45,194,0.196,6,0,4.31,-0.01,113,2.51,7,0.341,0.331,3,2,5
ENZYMES-g420,Cheminformatics,26,94,0.2892,6,0,3.62,-0.08,16,0.62,4.5,0.087,0.131,3,2,3
ENZYMES-g421,Cheminformatics,25,98,0.3267,6,0,3.92,-0.06,41,1.64,6.5,0.233,0.283,3,2,4
ENZYMES-g422,Cheminformatics,27,114,0.3248,7,0,4.22,-0.05,56,2.07,5.5,0.261,0.289,3,2,5
ENZYMES-g423,Cheminformatics,20,76,0.4,5,0,3.8,-0.08,29,1.45,4,0.24,0.269,3,1,4
ENZYMES-g424,Cheminformatics,40,132,0.1692,7,0,3.3,-0.05,34,0.85,3,0.169,0.183,3,1,4
ENZYMES-g425,Cheminformatics,21,78,0.3714,6,0,3.71,-0.06,14,0.67,3,0.122,0.131,3,1,4
ENZYMES-g426,Cheminformatics,19,66,0.386,5,0,3.47,-0.06,54,2.84,5,0.7,0.643,3,2,4
ENZYMES-g427,Cheminformatics,36,128,0.2032,5,0,3.56,-0.03,114,3.17,5,0.759,0.659,3,2,4
ENZYMES-g428,Cheminformatics,32,114,0.2298,6,0,3.56,-0.05,41,1.28,4,0.249,0.272,3,2,4
ENZYMES-g429,Cheminformatics,28,108,0.2857,6,0,3.86,-0.05,49,1.75,4,0.346,0.306,3,2,4
ENZYMES-g43,Cheminformatics,45,190,0.1919,6,0,4.22,-0.01,104,2.31,7,0.334,0.321,3,2,5
ENZYMES-g430,Cheminformatics,37,114,0.1712,7,0,3.08,-0.07,17,0.46,5,0.056,0.121,3,1,4
ENZYMES-g431,Cheminformatics,18,74,0.4837,6,0,4.11,-0.04,69,3.83,7,0.604,0.585,3,2,4
